Region,Round,Team 1 Seed,Team 1,Team 2 Seed,Team 2,Predicted Winner
East,Round of 64,1,Duke,16,Siena,Duke
East,Round of 64,8,Ohio St.,9,TCU,TCU
East,Round of 64,5,St. John's,12,Northern Iowa,St. John's
East,Round of 64,4,Kansas,13,California Baptist,Kansas
East,Round of 64,6,Louisville,11,South Florida,Louisville
East,Round of 64,3,Michigan St.,14,N. Dak. St.,Michigan St.
East,Round of 64,7,UCLA,10,UCF,UCLA
East,Round of 64,2,Connecticut,15,Furman,Furman
East,Round of 32,1,Duke,9,TCU,TCU
East,Round of 32,5,St. John's,4,Kansas,Kansas
East,Round of 32,6,Louisville,3,Michigan St.,Michigan St.
East,Round of 32,7,UCLA,15,Furman,Furman
East,Round of 16,9,TCU,4,Kansas,Kansas
East,Round of 16,3,Michigan St.,15,Furman,Michigan St.
East,Round of 8,4,Kansas,3,Michigan St.,Michigan St.
South,Round of 64,1,Florida,16,Prairie View A&M,Florida
South,Round of 64,8,Clemson,9,Iowa,Clemson
South,Round of 64,5,Vanderbilt,12,McNeese,McNeese
South,Round of 64,4,Nebraska,13,Troy,Troy
South,Round of 64,6,N. Carolina,11,VCU,N. Carolina
South,Round of 64,3,Illinois,14,Pennsylvania,Pennsylvania
South,Round of 64,7,St. Mary's,10,Texas A&M,St. Mary's
South,Round of 64,2,Houston,15,Idaho,Idaho
South,Round of 32,1,Florida,8,Clemson,Florida
South,Round of 32,12,McNeese,13,Troy,Troy
South,Round of 32,6,N. Carolina,14,Pennsylvania,Pennsylvania
South,Round of 32,7,St. Mary's,15,Idaho,St. Mary's
South,Round of 16,1,Florida,13,Troy,Florida
South,Round of 16,14,Pennsylvania,7,St. Mary's,St. Mary's
South,Round of 8,1,Florida,7,St. Mary's,Florida
West,Round of 64,1,Arizona,16,LIU Brooklyn,Arizona
West,Round of 64,8,Villanova,9,Utah St.,Villanova
West,Round of 64,5,Wisconsin,12,High Point,Wisconsin
West,Round of 64,4,Arkansas,13,Hawaii,Arkansas
West,Round of 64,6,BYU,11,Texas,BYU
West,Round of 64,3,Gonzaga,14,Kennesaw St.,Gonzaga
West,Round of 64,7,Miami (FL),10,Missouri,Miami (FL)
West,Round of 64,2,Purdue,15,Queens University,Queens University
West,Round of 32,1,Arizona,8,Villanova,Villanova
West,Round of 32,5,Wisconsin,4,Arkansas,Wisconsin
West,Round of 32,6,BYU,3,Gonzaga,BYU
West,Round of 32,7,Miami (FL),15,Queens University,Miami (FL)
West,Round of 16,8,Villanova,5,Wisconsin,Wisconsin
West,Round of 16,6,BYU,7,Miami (FL),BYU
West,Round of 8,5,Wisconsin,6,BYU,Wisconsin
Midwest,Round of 64,1,Michigan,16,Howard,Michigan
Midwest,Round of 64,8,Georgia,9,Saint Louis,Saint Louis
Midwest,Round of 64,5,Texas Tech,12,Akron,Texas Tech
Midwest,Round of 64,4,Alabama,13,Hofstra,Hofstra
Midwest,Round of 64,6,Tennessee,11,Miami (OH),Tennessee
Midwest,Round of 64,3,Virginia,14,Wright St.,Wright St.
Midwest,Round of 64,7,Kentucky,10,Santa Clara,Kentucky
Midwest,Round of 64,2,Iowa St.,15,Tennessee St.,Iowa St.
Midwest,Round of 32,1,Michigan,9,Saint Louis,Michigan
Midwest,Round of 32,5,Texas Tech,13,Hofstra,Hofstra
Midwest,Round of 32,6,Tennessee,14,Wright St.,Tennessee
Midwest,Round of 32,7,Kentucky,2,Iowa St.,Iowa St.
Midwest,Round of 16,1,Michigan,13,Hofstra,Michigan
Midwest,Round of 16,6,Tennessee,2,Iowa St.,Tennessee
Midwest,Round of 8,1,Michigan,6,Tennessee,Michigan
Final Four,Round of 4,3,Michigan St.,1,Florida,Michigan St.
Final Four,Round of 4,5,Wisconsin,1,Michigan,Wisconsin
Championship,National Final,,Michigan St.,,,Michigan St.
