Region,Round,Team 1 Seed,Team 1,Team 2 Seed,Team 2,Predicted Winner
East,Round of 64,1,Duke,16,Siena,Duke
East,Round of 64,8,Ohio St.,9,TCU,Ohio St.
East,Round of 64,5,St. John's,12,Northern Iowa,St. John's
East,Round of 64,4,Kansas,13,California Baptist,Kansas
East,Round of 64,6,Louisville,11,South Florida,South Florida
East,Round of 64,3,Michigan St.,14,N. Dak. St.,N. Dak. St.
East,Round of 64,7,UCLA,10,UCF,UCLA
East,Round of 64,2,Connecticut,15,Furman,Connecticut
East,Round of 32,1,Duke,8,Ohio St.,Duke
East,Round of 32,5,St. John's,4,Kansas,St. John's
East,Round of 32,11,South Florida,14,N. Dak. St.,N. Dak. St.
East,Round of 32,7,UCLA,2,Connecticut,Connecticut
East,Round of 16,1,Duke,5,St. John's,Duke
East,Round of 16,14,N. Dak. St.,2,Connecticut,Connecticut
East,Round of 8,1,Duke,2,Connecticut,Duke
South,Round of 64,1,Florida,16,Prairie View A&M,Florida
South,Round of 64,8,Clemson,9,Iowa,Iowa
South,Round of 64,5,Vanderbilt,12,McNeese,McNeese
South,Round of 64,4,Nebraska,13,Troy,Nebraska
South,Round of 64,6,N. Carolina,11,VCU,VCU
South,Round of 64,3,Illinois,14,Pennsylvania,Illinois
South,Round of 64,7,St. Mary's,10,Texas A&M,Texas A&M
South,Round of 64,2,Houston,15,Idaho,Houston
South,Round of 32,1,Florida,9,Iowa,Florida
South,Round of 32,12,McNeese,4,Nebraska,Nebraska
South,Round of 32,11,VCU,3,Illinois,Illinois
South,Round of 32,10,Texas A&M,2,Houston,Texas A&M
South,Round of 16,1,Florida,4,Nebraska,Nebraska
South,Round of 16,3,Illinois,10,Texas A&M,Illinois
South,Round of 8,4,Nebraska,3,Illinois,Illinois
West,Round of 64,1,Arizona,16,LIU Brooklyn,Arizona
West,Round of 64,8,Villanova,9,Utah St.,Villanova
West,Round of 64,5,Wisconsin,12,High Point,Wisconsin
West,Round of 64,4,Arkansas,13,Hawaii,Arkansas
West,Round of 64,6,BYU,11,Texas,BYU
West,Round of 64,3,Gonzaga,14,Kennesaw St.,Kennesaw St.
West,Round of 64,7,Miami (FL),10,Missouri,Missouri
West,Round of 64,2,Purdue,15,Queens University,Purdue
West,Round of 32,1,Arizona,8,Villanova,Arizona
West,Round of 32,5,Wisconsin,4,Arkansas,Arkansas
West,Round of 32,6,BYU,14,Kennesaw St.,BYU
West,Round of 32,10,Missouri,2,Purdue,Purdue
West,Round of 16,1,Arizona,4,Arkansas,Arizona
West,Round of 16,6,BYU,2,Purdue,Purdue
West,Round of 8,1,Arizona,2,Purdue,Purdue
Midwest,Round of 64,1,Michigan,16,Howard,Michigan
Midwest,Round of 64,8,Georgia,9,Saint Louis,Saint Louis
Midwest,Round of 64,5,Texas Tech,12,Akron,Akron
Midwest,Round of 64,4,Alabama,13,Hofstra,Alabama
Midwest,Round of 64,6,Tennessee,11,Miami (OH),Miami (OH)
Midwest,Round of 64,3,Virginia,14,Wright St.,Virginia
Midwest,Round of 64,7,Kentucky,10,Santa Clara,Kentucky
Midwest,Round of 64,2,Iowa St.,15,Tennessee St.,Iowa St.
Midwest,Round of 32,1,Michigan,9,Saint Louis,Saint Louis
Midwest,Round of 32,12,Akron,4,Alabama,Alabama
Midwest,Round of 32,11,Miami (OH),3,Virginia,Virginia
Midwest,Round of 32,7,Kentucky,2,Iowa St.,Iowa St.
Midwest,Round of 16,9,Saint Louis,4,Alabama,Alabama
Midwest,Round of 16,3,Virginia,2,Iowa St.,Iowa St.
Midwest,Round of 8,4,Alabama,2,Iowa St.,Iowa St.
Final Four,Round of 4,1,Duke,3,Illinois,Duke
Final Four,Round of 4,2,Purdue,2,Iowa St.,Iowa St.
Championship,National Final,,Duke,,,Duke
